primary_key,input_street,input_zone,x,y,score,locator,matchAddress,standardizedAddress,addressGrid,message
F10-27766,494 E 2700 S,84115.0,425915.46817073115,4507214.338685714,100.0,Centerlines.StatewideRoads,"494 E 2700 S, Salt Lake City",494 east 2700 south,Salt Lake City,
F13-34814,1248 South 300 East,84111.0,425475.5035339293,4510464.860192323,100.0,AddressPoints.AddressGrid,"1248 S 300 E, SALT LAKE CITY","1248 South 300 East, 84111",SALT LAKE CITY,
F19-75420,161 W 4500 S,84107.0,424284.9203300959,4502947.332262958,100.0,AddressPoints.AddressGrid,"161 W 4500 S, SALT LAKE CITY",161 west 4500 south,SALT LAKE CITY,
F20-80841,5272 W 3500 S,84120.0,414065.0225302921,4505598.179761457,100.0,AddressPoints.AddressGrid,"5272 W 3500 S, SALT LAKE CITY",5272 west 3500 south,SALT LAKE CITY,
F20-80020,139 S State Street,84042.0,439487.6412888761,4465141.630019435,100.0,AddressPoints.AddressGrid,"139 S STATE ST, LINDON",139 south state street,LINDON,
F10-16610,2647 North 1000 West,84404.0,416011.89049666194,4573221.722916568,100.0,AddressPoints.AddressGrid,"2647 N 1000 W, OGDEN","2647 North 1000 West, 84404",OGDEN,
F10-1500,65 East Center,84634.0,429440.5477314574,4334341.266598735,90.92,AddressPoints.AddressGrid,"65 E CENTER ST, GUNNISON","65 East Center, 84634",GUNNISON,
F22-88221,438 E 700 S,84015.0,414513.8908664412,4550726.614248067,100.0,AddressPoints.AddressGrid,"438 E 700 S, CLEARFIELD",438 east 700 south,CLEARFIELD,
F20-82700,4062 South 4000 West,84120.0,416575.44858461176,4504043.932740795,100.0,AddressPoints.AddressGrid,"4062 S 4000 W, SALT LAKE CITY","4062 South 4000 West, 84120",SALT LAKE CITY,
F19-69400,1755 W 7800 S,84088.0,420434.8869006873,4495791.651213772,100.0,AddressPoints.AddressGrid,"1755 W 7800 S, SALT LAKE CITY",1755 west 7800 south,SALT LAKE CITY,
F10-27901,205 N Tremont Street,84337.0,402962.64164221217,4618715.177878081,100.0,AddressPoints.AddressGrid,"205 N TREMONT ST, TREMONTON",205 north tremont street,TREMONTON,
F10-27326,12243 S 700 W,84020.0,422935.20814186026,4486800.661340891,100.0,AddressPoints.AddressGrid,"12243 S 700 W, SALT LAKE CITY",12243 south 700 west,SALT LAKE CITY,
